NOMBRE_EQUIPO,NOMBRE_VLAN,COMANDO_DEL,COMANDO_ADD,COMANDO_IP
 VECREDNOC1004X1,ELUN-GUILLERMO-AMAR,no interface TenGigabitEthernet0/3/0.3350,interface Te0/3/0.3350,ip address 172.23.243.205 255.255.255.252
 VECREDNOC1004X1,ELUN-SAFARI-BAKERY,no interface TenGigabitEthernet0/3/0.3351,interface Te0/3/0.3351,ip address 172.23.243.213 255.255.255.252
 VECCSNOC7206X3,ELUN-DIPROMULCA,no interface GigabitEthernet5/0.969,interface Te0/3/0.3052,ip address 172.23.247.201 255.255.255.252
 VECREDNOC1004X1,ELUN-CORP-LAZAM,no interface TenGigabitEthernet0/3/0.3353,interface Te0/3/0.3353,ip address 172.23.248.165 255.255.255.252
 VECREDNOC1004X1,ELUN-ELCO,no interface TenGigabitEthernet0/3/0.3354,interface Te0/3/0.3354,ip address 172.23.252.229 255.255.255.252
 VECCSNOC7206X3,ELUN-CICPC-URDANETA,no interface GigabitEthernet5/0.974,interface Te0/3/0.3355,ip address 172.23.244.125 255.255.255.252
 VECCSNOC7206X3,ELUN-CICPC-PCARABOBO,no interface GigabitEthernet5/0.975,interface Te0/3/0.3356,ip address 172.23.244.129 255.255.255.252
 VECCSNOC7206X3,ELUN-FARMARATO,no interface GigabitEthernet5/0.977,interface Te0/3/0.3358,ip address 172.23.244.225 255.255.255.252
 VECREDNOC1004X1,ELUN-FARMARATO,no interface TenGigabitEthernet0/3/0.3358,interface Te0/3/0.3358,ip address 172.23.244.225 255.255.255.252
 VECREDNOC1004X1,ELUN-CVA-CENTRO,no interface TenGigabitEthernet0/3/0.3359,interface Te0/3/0.3359,ip address 172.23.245.205 255.255.255.252
 VECREDNOC1004X1,ELUN-GRUPESKA,no interface TenGigabitEthernet1/0/4.963,interface Te0/3/0.3360,ip address 172.23.248.105 255.255.255.252
 VECREDNOC1004X1,ELUN-HOTEL-ALEX,no interface TenGigabitEthernet1/0/4.978,interface Te0/3/0.3361,ip address 172.23.244.229 255.255.255.252
 VECREDNOC1004X1,GALI-ZURICH,no interface TenGigabitEthernet0/3/0.3228,interface Te0/3/0.3228,ip address 172.23.251.121 255.255.255.252
 VECREDNOC1004X1,GALI-FONDO-DE-VALORES,no interface TenGigabitEthernet0/3/0.3229,interface Te0/3/0.3229,ip address 172.23.248.169 255.255.255.252
 VECREDNOC1004X1,GALI-PRIMTEK-27,no interface TenGigabitEthernet0/3/0.3230,interface Te0/3/0.3230,ip address 172.23.248.225 255.255.255.252
 VECREDNOC1004X1,GALI-ACCESS-SALUD,no interface TenGigabitEthernet0/3/0.3231,interface Te0/3/0.3231,ip address 172.23.247.209 255.255.255.252
 VECREDNOC1004X1,GALI-VENAMCHAM,no interface TenGigabitEthernet0/3/0.3232,interface Te0/3/0.3232,ip address 172.23.244.245 255.255.255.252
 VECREDNOC1004X1,GALI-NATIONAL-CARGO,no interface TenGigabitEthernet0/3/0.3233,interface Te0/3/0.3233,ip address 172.23.244.25 255.255.255.252
 VECREDNOC1004X1,GALI-INST-ITALIANO,no interface TenGigabitEthernet0/3/0.3235,interface Te0/3/0.3235,ip address 172.23.248.25 255.255.255.252
 VECREDNOC1004X1,GALI-MAZAR,no interface TenGigabitEthernet0/3/0.3236,interface Te0/3/0.3236,ip address 172.23.253.205 255.255.255.252
 VECREDNOC1004X1,GALI-GRUPO-FALCON,no interface TenGigabitEthernet0/3/0.3237,interface Te0/3/0.3237,ip address 172.23.243.121 255.255.255.252
 VECREDNOC1004X1,LIBER-SOLUCIONESTI,no interface TenGigabitEthernet0/3/0.3035,interface Te0/3/0.3035,ip address 172.23.251.81 255.255.255.252
 VECREDNOC1004X1,LIBER-SOAINT,no interface TenGigabitEthernet0/3/0.3036,interface Te0/3/0.3036,ip address 172.23.247.93 255.255.255.252
 VECREDNOC1004X1,LIBER-MICASITA,no interface TenGigabitEthernet0/3/0.3038,interface Te0/3/0.3038,ip address 172.23.246.33 255.255.255.252
 VECREDNOC1004X1,LIBER-QUINTA-SOLERA,no interface TenGigabitEthernet0/3/0.3039,interface Te0/3/0.3039,ip address 172.23.246.69 255.255.255.252
 VECREDNOC1004X1,LIBER-DAV-DUBBING,no interface TenGigabitEthernet0/3/0.3040,interface Te0/3/0.3040,ip address 172.23.248.13 255.255.255.252
 VECREDNOC1004X1,LIBER-CLI-SANTIAGO-L,no interface TenGigabitEthernet0/3/0.3041,interface Te0/3/0.3041,ip address 172.23.243.193 255.255.255.252
 VECREDNOC1004X1,LIBER-CONDOMI-BANCOP,no interface TenGigabitEthernet0/3/0.3042,interface Te0/3/0.3042,ip address 172.23.247.245 255.255.255.252
 VECREDNOC1004X1,LIBER-SHAAREI-SHALOM,no interface TenGigabitEthernet0/3/0.3043,interface Te0/3/0.3043,ip address 190.94.210.157 255.255.255.252
 VECREDNOC1004X1,LIBER-MORE,no interface TenGigabitEthernet0/3/0.3044,interface Te0/3/0.3044,ip address 172.23.248.81 255.255.255.252
 VECREDNOC1004X1,TUNO-WORLD-TRADING,no interface TenGigabitEthernet0/3/0.3267,interface Te0/3/0.3267,ip address 172.23.254.85 255.255.255.252
 VECREDNOC1004X1,TUNO-TOP-FOOD,no interface TenGigabitEthernet0/3/0.3268,interface Te0/3/0.3268,ip address 172.23.244.5 255.255.255.252
 VECREDNOC1004X1,TUNO-QUINTA-EL-MAISSANCO,no interface TenGigabitEthernet0/3/0.3269,interface Te0/3/0.3269,ip address 172.23.244.141 255.255.255.252
 VECREDNOC1004X1,TUNO-COELLO-CVA-MER,no interface TenGigabitEthernet0/3/0.3270,interface Te0/3/0.3270,ip address 172.23.244.157 255.255.255.252
