Nodo,Cliente,Vlan Name,Current Vlan,New Vlan,Servicio
El Universal,Guillermo,ELUN-GUILLERMO-AMAR,983,3350,IP
,Safary Bakery,ELUN-SAFARI-BAKERY,984,3351,IP
,Dipromulca,ELUN-DIPROMULCA,969,3052,IP
,Corporación Lazam,ELUN-CORP-LAZAM,965,3353,IP
,Elco,ELUN-ELCO,958,3354,IP
,CICPC Urdaneta,ELUN-CICPC-URDANETA,974,3355,IP
,CICPC Carabobo,ELUN-CICPC-PCARABOBO,975,3356,IP
,Cartonera Caracas,ELUN-CARTONERA_CCS,953,3357,IP
,Farmarato,ELUN-FARMARATO,977,3358,IP
,CVA El Centro,ELUN-CVA-CENTRO,970,3359,IP
,Corpo Grupeska,ELUN-GRUPESKA,963,3360,IP
,hotel Alex,ELUN-HOTEL-ALEX,978,3361,IP
,Inversiones Peña,ELUN-INV-PEÑA,979,3362,IP
,Zurich,GALI-ZURICH,559,3228,IP
,Fondo De valores,GALI-FONDO-DE-VALORES,588,3229,IP
,Primtek,GALI-PRIMTEK-27,589,3230,IP
,Access Salud,GALI-ACCESS-SALUD,599,3231,IP
,VenamCham,GALI-VENAMCHAM,1557,3232,IP
,National Cargo,GALI-NATIONAL-CARGO,1561,3233,IP
,GPS,GALI-GPS-40MB,560,3234,IP
,Instituto italiano,GALI-INST-ITALIANO,575,3235,IP
,Mazar,GALI-MAZAR,582,3236,IP
,Grupo falcón,GALI-GRUPO-FALCON,1573,3237,IP
Libertador,Qta Emecicno,LIB-QUINTA-EMECICNO,1024,3034,
,Soluciones TI,LIBER-SOLUCIONESTI,1013,3035,
,Soaint,LIBER-SOAINT,1030,3036,
,Soluciones Coello,LIBER-SOL-COELLO-PISO-6,1039,3037,
,Mi Casita,LIBER-MICASITA,1043,3038,
,Qta Solera,LIBER-QUINTA-SOLERA,1045,3039,
,Dav Dubbing,LIBER-DAV-DUBBING,1018,3040,
,Clinica Santiago de Leon,LIBER-CLI-SANTIAGO-L,1050,3041,
,Condominio Banco Plaza,LIBER-CONDOMI-BANCOP,1037,3042,
,Shaarei Shalom,LIBER-SHAAREI-SHALOM,1015,3043,
,More Consulting,LIBER-MORE,1020,3044,
Torre Uno,World Trading,TUNO-WORLD-TRADING,485,3267,
,TopFood,TUNO-TOP-FOOD,486,3268,
,Qta el Maissanco,TUNO-QUINTA-EL-MAISSANCO,490,3269,
,CVA Las Mercedes,TUNO-COELLO-CVA-MER,492,3270,
,Destilería Carúpano,TUNO-DEST-CARUPANO,494,3271,
,Yeet de Venezuela,TUNO-YEET-DE-VEN,452,3272,
,Dancing Dolly,TUNO-DANCINGDOLLY,461,3273,
,Estivaneli,TUNO-ESTIVANELI,462,3274,
,Tolonet,TUNO-TOLONET-FIB ,465,3275,
,Hotel Paseo las Mercedes,TUNO-PASEO-L-M,466,3276,
,Emb Rusia,TUNO-EMB-RUSIA,467,3277,
,Lobby Ah,TUNO-LOBBY-AH,470,3278,
,Qta Mary,TUNO-QTA-MARY,472,3279,
,Final Curve,TUNO-FINAL-CURVE,473,3280,
,ISARQ,TUNO-ISARQ,474,3281,
,Audio Concept,TUNO-AUDIO-CONCEPT,475,3282,
,Conaven,TUNO-CONAVEN,476,3283,
,Modusistema,TUNO-MODUSISTEMA,478,3284,
,Banking,TUNO-BANKING,479,3285,
,Echo Link,TUNO-ECHO-LINK,480,3286,
,Unión Europea,TUNO-UNION-EUROPEA-MUD,481,3287,
,Hecticus,TUNO-HECTICUS,482,3288,
,Muebles Mary,TUNO-MUEBLES-MARY,483,3289,
,Intervit,TUNO-INTERVIT,484,3290,
,Consein,TUNO-CONSEIN,487,3291,
,Club Valle Arriba,TUNO-CLUB-VALLE-ARRIBA,489,3292,
Bol,,LEB-CHOCOBRU,603,3400,
,,BOL- TECNOCOMPUTACION ,617,3408,
,,BOL-AGROP-MUNDIAL,671,3432,
,,LEB-ALBORADA,659,3422,
,,LEB-AVILAIRE,1682,3435,
,,LEB-AXESS-NET,611,3403,
,,BOL-BET-SHMUEL-ESTE,627,3410,
,,BOL-BRANZA-1800,670,3431,
,,LEB-CANGURO,1658,3450,
,,LEB-CAPI,616,3407,
,,BOL-CAUCHOS-MUNDIAL,666,3427,
,,BOL-CGSI,654,3419,
,,LEB-CLUB LOS CORTIJOS ,1714,3438,
,,BOL-COLEGIO-FRANCIA,669,3430,
,,LEB-CONSIS,641,3412,
,,LEB-DGCIM-LOGISTICA,1653,3446,
,,LEB-DGCIM-OPERACIONES,1652,3445,
,,LEB-DIRECTA-GROUP-AUTANA,1660,3451,
,,LEB-DROGUERIA-NENA,1681,3434,
,,LEB-FARMACIA-ADAN,1666,3442,
,,LEB-GALAXIA-MEDICA,651,3417,
,,LEB-GENERACION-TECN,1667,3443,
,,LEB-GINA,1120,3454,
,,BOL-GRUPO-PHX,668,3429,
,,BOL-HEB-CAM,605,3401,
,,BOL-HEB-COLEGIO,644,3414,
,,LEB-HEBRAICA-CLUB,1123,3456,
,,LEB-HEB-WIFI,1122,3455,
,,BOL-HOGAR-LUVADICHT ,662,3426,
,,LEB-HOTECHE,1675,3433,
,,LEB-INFOTAX,642,3413,
,,BOL-JOSEPH-SIMKIN,626,3409,
,,LEB-JUAN-CARLOS-VALERA,615,3406,
,,LEB-KORES,1719,3441,
,,LEB-LA-PERLA,652,3418,
,,LEB- LIBERTY EXPRESS BOLEITA,1717,3439,
,,BOL-LIBERTY-OFINCA,667,3428,
,,LEB-LIDER-PRAGMA,1656,3449,
,,BOL-MAPLOCA ,657,3420,
,,BOL-MICROFILMS,650,3416,
,,LEB-NIVTAJ-TSALACH,1661,3452,
,,BOL-OLTP-ATM,661,3425,
,,BOL-OLTP-URB,658,3421,
,,BOL-OPAS,647,3415,
,,LEB-PEPSICO,1119,3453,
,,LEB- POLINAC,1718,3440,
,,LEB-PRC-SEGRE,1669,3444,
,,LEB-PRIMTEK-CCBC,1655,3448,
,,LEB-PRIMTEK-WILSON,1654,3447,
,,BOL-PROD_KHYM,660,3423,
,,BOL-PROD_KHYM,660,3424,
,,BOL-QUINTA MI REFUGUO ,612,3404,
,,BOL-RIVOLI,614,3405,
,,LEB-SALVA-LOGISTC,1707,3437,
,,LEB-SMARTCALL-PANALP,1706,3436,
,,BOL-VALORALTA,637,3411,
,,BOL-WEDOO,606,3402,
,,LEB-MOLINOS-NACIONALES,1134,3461,
,,LEB-PRC333-MONACA,1133,3460,
,,LEB-PRC-DANISA,1132,3459,
,,BOL-ARTROGEN,610,3462,
,,LEB-SMARTCALL-COLEG,1128,3458,
,,BOL-VENEIMCA,624,3463,
,,LEB-TELEVEN,1127,3457,
MCCY,,LEB-CENTRO-MARMOL,1671,3456,
,,LEB-CHARVENCA,1117,3457,
,,LEB-CLOUDHOPP,1683,3452,
,,LEB-CONTALFA,1103,3451,
,,LEB-DILOJA,1118,3453,
,,LEB-MUDANZAS-INTER-LLANITO,1125,3454,
,,LEB-STP-CONSULTORES,1126,3455,
Lebrun,,LEB-DIVISION-365,1662,3150,
,,LEB-QTA-ODETE,1663,3151,
,,LEB-HERGLY,1664,3152,
,,LEB-INVERSIONES-747,1665,3153,
