BOL-CGSI,Vlan Name,Nombre a Cambiar,Current Vlan,New Vlan,Servicio,Migrado a Vlan 3000,Migrado Físicamente,Pandora,Cacti,Documento de Vlans / Switch,Documento de Vlans GPON,Documento de LAN,Documento de WAN,Documento de Correos por Nodo,Vlan en la OLT,Puertos / Vlan de los Switch
Galipán,,,3200,1575,,,,,,,,,,,,
,,,3201,1576,,,,,,,,,,,,
,,,3202,1577,,,,,,,,,,,,
,,,3203,1578,,,,,,,,,,,,
,,,3204,569,,,,,,,,,,,,
,,,3205,1579,,,,,,,,,,,,
,,,3207,1580,,,,,,,,,,,,
,,,3208,571,,,,,,,,,,,,
,,,3209,1573,,,,,,,,,,,,
,,,3210,568,,,,,,,,,,,,
,,,3211,1581,,,,,,,,,,,,
,,,3212,1582,,,,,,,,,,,,
,,,3213,570,,,,,,,,,,,,
,,,3214,1583,,,,,,,,,,,,
,,,3215,1563,,,,,,,,,,,,
,,,3216,1585,,,,,,,,,,,,
,,,3217,1585,,,,,,,,,,,,
,,,3218,1586,,,,,,,,,,,,
,,,3219,1587,,,,,,,,,,,,
,,,3220,1568,,,,,,,,,,,,
,,,3221,1588,,,,,,,,,,,,
,,,3222,1589,,,,,,,,,,,,
,,GALI-DIV-VOLUNTARIO,3223,1590,,,,,,,,,,,,
,,,3224,1591,,,,,,,,,,,,
,,,3225,1592,,,,,,,,,,,,
,,,3226,1593,,,,,,,,,,,,
,,,3227,1594,,,,,,,,,,,,
,,,3228,1595,,,,,,,,,,,,
,,GALI-F-DE-VALORES,3229,1596,,,,,,,,,,,,
,,,3230,1597,,,,,,,,,,,,
,,,3231,1598,,,,,,,,,,,,
,,,3232,1599,,,,,,,,,,,,
,,,3233,1600,,,,,,,,,,,,
,,,3234,4000,,,,,,,,,,,,
,,,3235,4001,,,,,,,,,,,,
,,,3236,4002,,,,,,,,,,,,
,,,3237,4003,,,,,,,,,,,,
,,,3238,4004,,,,,,,,,,,,
,,,3239,4005,,,,,,,,,,,,
,,,3240,1558,,,,,,,,,,,,
,,,3241,4006,,,,,,,,,,,,
,,,3242,4007,,,,,,,,,,,,
,,,3243,4008,,,,,,,,,,,,
,,,3244,1553,,,,,,,,,,,,
,,,3245,4009,,,,,,,,,,,,
,,,3246,555,,,,,,,,,,,,
,,,3247,595,,,,,,,,,,,,
,,,3248,551,,,,,,,,,,,,
,,,3249,553,,,,,,,,,,,,
,,,3600,1559,,,,,,,,,,,,
,,,3601,566,,,,,,,,,,,,
,,,3602,558,,,,,,,,,,,,
,,,3603,562,,,,,,,,,,,,
,,,3604,1560,,,,,,,,,,,,
,,,3605,591,,,,,,,,,,,,
,,,3606,565,,,,,,,,,,,,
,,,3607,573,,,,,,,,,,,,
,,,3608,594,,,,,,,,,,,,
,,,3609,4010,,,,,,,,,,,,
,,,3610,4011,,,,,,,,,,,,
,,,3611,4012,,,,,,,,,,,,
,,,3612,4013,,,,,,,,,,,,
,,,3613,4014,,,,,,,,,,,,
