Vlan Name,Nombre a Cambiar,Current Vlan,New Vlan,MIGRADA,usada por,ACCION VLAN SW
LIBER-NUBOTEK,,3007,1900,,,
LIBER-QUINTA-MARQUIS,,3008,1901,,,
LIBER-CONSULTORES-SC,,3009,1902,,,
LIBER-QUINTA-MERCED,,3010,1903,,,
LIBER-AMNISTIA,,3011,1904,,,
LIBER-MACROTEL,,3012,1905,,,
LIBER-PLUS-CONTACT,,3013,1906,,,
LIBER-QUINTA-CAPIHUE,,3014,1907,,,
LIBER-DIRECTA-GROUP,,3015,1908,,,
LIBER-EMB-PAISES-BAJOS,LIBER-EMB-PAISES-BAJ,3016,1909,,,
LIBER-QUINTA-ARCADIA,,3017,1910,,,
LIBER-CORP-ASIA,,3018,1911,,,
LIBER-QTA-SAN-LUIS,,3019,1912,,,
LIBER-QTA-PIKAPU,,3020,1913,,,
LIBER-QTA-SETORRAY,,3021,1914,,,
LIBER-QTA-EL-RINCON,,3022,1915,,,
LIBER-QTA-EL-SAMAN,,3023,1916,,,
LIBER-QTA-SALTAMONTES,LIBER-QTA-SALTAMONTS,3024,1917,,,
LIBER-COUNTRY-CLUB,,3025,1918,,,
LIBER-AISVE,,3026,1919,,,
LIBER-BANCO-PLAZA-PPL,LIBER-BCO-PLAZA-PPL,3027,1920,,,
SALVAFOOD-PZA-VZLA,,3028,1921,,,
LIB-SOFTECH,,3029,1922,,,
LIB-BEYOND-CC,,3030,1923,,,
LIB-LAB-BEHRENS,,3031,1924,,,
LIB-QUINTA-RE,,3032,1925,,,
LIB-CLEA-TELECOM,,3033,1926,,,
LIB-QUINTA-EMECICNO,,3034,1927,,,
LIBER-SOLUCIONESTI,,3035,1928,,,
LIBER-SOAINT,,3036,1929,,,
LIBER-SOL-COELLO-PISO-6,LIBER-S-COELLO-P6,3037,1930,,,
LIBER-MICASITA,,3038,1931,,,
LIBER-QUINTA-SOLERA,,3039,1932,,,
LIBER-DAV-DUBBING,,3040,1933,,,
LIBER-CLI-SANTIAGO-L,,3041,1934,,,
LIBER-CONDOMI-BANCOP,,3042,1935,,,
LIBER-SHAAREI-SHALOM,,3043,1936,,,
LIBER-MORE,,3044,1937,,,
LIBER-QTA-BELVEDERE,,3045,1938,,,
LIBER-TKONEKTO,,3046,1939,,,
LIBER-FARMA-HB,,3047,1940,,,
LIBER-QUINTA-VY,,3048,1941,,,
LIBER-FARM-HB-PLZ-VE,,3049,1942,,,
LIBER-FRESH-TECH-BP,,3900,1943,,,
LIBER-EVEMPRO,,3001,1944,,,
LIBER-JHA,,3003,1945,,,
LIBER-NETWORK-CONSUL,,3004,1946,,,
BOL-CASIO-PPAL-MGM,,665,N/A,,,
