NOMBRE_EQUIPO,INTERFACE,NOMBRE_CLIENTE,NRO_VLAN,DIRECCION_IPV4, DIRECCION_IPV6, VELOCIDAD_ENTRADA,VELOCIDAD_SALIDA
 CRED1004X1,Loopback0,,,WAN: 181.225.41.18/32 - LAN: ,WAN: 2803:D480:0:73::18/128 - LAN: ,,
 CRED1004X1,Port-channel1,,,,,,
 CRED1004X1,Port-channel1.9,CC-BACKBONE-L3-IFX,9,WAN: 172.23.249.2/28 - LAN: ,WAN: 2803:D480:0:80:0:3E80:0:4/124 - LAN: ,,
 CRED1004X1,Port-channel1.30,CRED-LEBRUN,30,WAN: 172.23.249.34/28 - LAN: ,WAN: 2803:D480:0:66::C001/64 - LAN: ,,
 CRED1004X1,Port-channel2,LEV3-CL_IP - FRO2006909960,,,,,
 CRED1004X1,Port-channel3,,,,,,
 CRED1004X1,Port-channel3.282(shutdown),,,,,,
 CRED1004X1,Port-channel4,,,,,,
 CRED1004X1,Port-channel5,,,,,,
 CRED1004X1,Port-channel6,,,,,,
 CRED1004X1,Port-channel8,,,,,,
 CRED1004X1,Port-channel9,,,,,,
 CRED1004X1,TenGigabitEthernet0/1/0,CCSJ4500CREX2_xe-0/0/14_TUNO-CUBON-CV,,,,,
 CRED1004X1,TenGigabitEthernet0/1/0.55,MGMT-TUNO,55,WAN: 172.23.249.81/29 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet0/1/0.491,TUNO-NODOV-QTA-MARACA,491,WAN: 181.225.53.129/29 - LAN: ,,ACL:300M / Mb:error_speed,ACL:300M / Mb:error_speed,
 CRED1004X1,TenGigabitEthernet0/1/0.493,TUNO-TELCORP;ID:26301,493,WAN: 172.23.244.161/30 - LAN: 190.94.218.144/29 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/1/0.497,TUNO-STMORITZ-IP-BAN;ID:26168,497,WAN: 172.23.245.85/30 - LAN: 190.94.218.40/29 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/1/0.498,TUNO-STMORITZ-SW-BAN;ID:26168,498,WAN: 172.23.244.233/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet0/1/0.499,TUNO-STMORITZ-SW-PAL;ID:26168,499,WAN: 172.23.243.81/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet0/1/0.1051,CUBO-CASINO-ATLATIS;ID:26561,1051,WAN: 190.94.194.201/30 - LAN: ,,ACL:600M / Mb:600,ACL:600M / Mb:600,
 CRED1004X1,TenGigabitEthernet0/1/0.1805,FRESH-T-CHAGMOS;ID:26556,1805,WAN: 172.23.240.41/30 - LAN: ,,ACL:70M / Mb:70,ACL:70M / Mb:70,
 CRED1004X1,TenGigabitEthernet0/1/0.1813(shutdown),CORP-CALL-77;ID:,1813,WAN: 172.23.243.141/30 - LAN: 190.94.199.140/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/1/0.1815(shutdown),TUNO-REINALDO;ID:4,1815,WAN: 190.94.199.45/30 - LAN: ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/1/0.1816(shutdown),TUNO-MDA-TV;ID:,1816,WAN: 172.23.243.93/30 - LAN: 190.94.244.16/30 ,,ACL:60M / Mb:60,ACL:60M / Mb:60,
 CRED1004X1,TenGigabitEthernet0/1/0.1829(shutdown),TUNO-ESTIVANELI;ID:,1829,WAN: 172.23.251.113/30 - LAN: 181.225.42.72/29 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/1/0.1831,TUNO-PASEO-L-M;ID:,1831,WAN: 172.23.250.181/30 - LAN: 190.94.210.88/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/1/0.1837(shutdown),CONAVEN;ID:8699,1837,WAN: 172.23.248.237/30 - LAN: 190.94.208.64/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/1/0.1839(shutdown),BANKING;ID:26341,1839,WAN: 172.23.243.177/30 - LAN: 190.94.198.0/29 190.94.244.84/30 ,,ACL:160M / Mb:160,ACL:160M / Mb:160,
 CRED1004X1,TenGigabitEthernet0/1/0.1843(shutdown),RED1-VL483-TUNO-MUEBLES-MARY ,1843,WAN: 172.23.245.89/30 - LAN: 190.94.253.216/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/1/0.1861(shutdown),PANEL-SYSTEMS;ID:26308,1861,WAN: 172.23.243.53/30 - LAN: 181.225.53.224/29 190.94.244.8/30 ,,ACL:60M / Mb:60,ACL:60M / Mb:60,
 CRED1004X1,TenGigabitEthernet0/1/0.2367,CV-UNICASA-COCHE;ID:27190,2367,WAN: 172.23.242.133/30 - LAN: 190.94.199.168/30 ,,,
 CRED1004X1,GigabitEthernet0/2/0,CCS3550CREDX1-Giga0/2,,,,,
 CRED1004X1,GigabitEthernet0/2/0.9,CRED-FCHACON-ARC,9,WAN: 190.94.208.9/30 - LAN: ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,GigabitEthernet0/2/1,CANTV-1,,,,,
 CRED1004X1,GigabitEthernet0/2/2,,,,,,
 CRED1004X1,GigabitEthernet0/2/2.980,CANTV-PEER;ID:4,980,WAN: 172.23.255.233/30 - LAN: 201.249.163.0/28 ,,,
 CRED1004X1,GigabitEthernet0/2/3,,,,,,
 CRED1004X1,GigabitEthernet0/2/3.1,,1 native,WAN: 172.23.253.65/28 - LAN: ,,,
 CRED1004X1,GigabitEthernet0/2/3.17,Alcaldia-Chacao;ID:25550,,,,,
