NOMBRE_EQUIPO,INTERFACE,NOMBRE_CLIENTE,NRO_VLAN,DIRECCION_IP,VELOCIDAD_ENTRADA,VELOCIDAD_SALIDA,
 VECREDNOC1004X1,Loopback0,,,181.225.41.18 255.255.255.255,,,
,,,,,,,
 VECREDNOC1004X1,Port-channel1,,,,,,
 VECREDNOC1004X1,Port-channel1.9,CC-BACKBONE-L3-IFX,9,172.23.249.2 255.255.255.240,,,
 VECREDNOC1004X1,Port-channel1.30,CRED-LEBRUN,30,172.23.249.34 255.255.255.240,,,
 VECREDNOC1004X1,Port-channel2,LEV3-CL_IP - FRO2006909960,,,,,
 VECREDNOC1004X1,Port-channel2.915(shutdown),LEV3-CL_IP - FRO2006909960,915,4.15.156.46 255.255.255.252,,,
 VECREDNOC1004X1,Port-channel3,,,,,,
 VECREDNOC1004X1,Port-channel3.282(shutdown),,,,,,
 VECREDNOC1004X1,Port-channel4,,,,,,
 VECREDNOC1004X1,Port-channel5,,,,,,
 VECREDNOC1004X1,POS0/0/0,TVZ-POZ-STM4-C,,172.23.255.161 255.255.255.252,,,
 VECREDNOC1004X1,POS0/0/1,TVZ-POZ-STM4-D,,172.23.253.113 255.255.255.252,,,
 VECREDNOC1004X1,POS0/0/2,TVZ-POZ-STM4-A;TVZ:CANTV-G2343/2221-0167846/ORDEN:I14ICP20691,,172.23.254.221 255.255.255.252,,,
 VECREDNOC1004X1,POS0/0/3,TVZ-MTN-STM4;TVZ:CANTV-G3086/2301-0168564/ORDEN:I15ICP01618,,172.23.253.93 255.255.255.252,,,
 VECREDNOC1004X1,POS0/0/4,TVZ-POZ-STM4-B;TVZ:CANTV-G2980/222-0168287,,172.23.253.85 255.255.255.252,,,
 VECREDNOC1004X1,POS0/0/5,UNITEL-STM42022,,172.23.254.177 255.255.255.252,,,
 VECREDNOC1004X1,POS0/0/6,TVZ-STM1;CANTV:F8769-ID:2221-0165364,,172.23.255.197 255.255.255.252,,,
 VECREDNOC1004X1,POS0/0/7,UNITEL-STM1-CARUPANO,,172.23.255.101 255.255.255.252,,,
 VECREDNOC1004X1,TenGigabitEthernet0/1/0,CCSJ4500CREX2_xe-0/0/14_TUNO-CUBON,,,,,
 VECREDNOC1004X1,TenGigabitEthernet0/1/0.471,TUNO-UNION-EUROPEA;ID:9334,471,172.23.248.5 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet0/1/0.477,TUNO-CONDOMINIO-TUNO,477,172.23.248.241 255.255.255.252,10M,10M,
 VECREDNOC1004X1,TenGigabitEthernet0/1/0.491,TUNO-NODOV-QTA-MARACA,491,181.225.53.129 255.255.255.248,300M,300M,
 VECREDNOC1004X1,TenGigabitEthernet0/1/0.495,GAMA-SM-SW;ID:26091,495,172.23.243.85 255.255.255.252,,,
 VECREDNOC1004X1,TenGigabitEthernet0/1/0.1068,ALCOHOLES-DEL-CARIBE;ID:26171,1068,172.23.245.81 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet0/1/0.1069,CUBO-PLATC-EU,1069,190.94.209.121 255.255.255.248,PLATCOMM-EU,PLATCOMM-EU,
 VECREDNOC1004X1,TenGigabitEthernet0/1/0.1073,POSCOMERCIAL;ID:26167,1073,172.23.245.1 255.255.255.252,60M,60M,
 VECREDNOC1004X1,TenGigabitEthernet0/1/0.1078,CUBO-PRIMTEK-CCCT,1078,172.23.243.217 255.255.255.252,100M,100M,
 VECREDNOC1004X1,TenGigabitEthernet0/1/0.1079,CUBO-TELCOS,1079,172.23.242.141 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet0/1/0.1080,CUBO-HERBALIFE,1080,172.23.241.133 255.255.255.252,60M,60M,
 VECREDNOC1004X1,TenGigabitEthernet0/1/0.1081,CUBO-HERBALIFE-CN,1081,172.23.241.29 255.255.255.252,30M,30M,
 VECREDNOC1004X1,GigabitEthernet0/2/0,CCS3550CREDX1-Giga0/2,,,,,
 VECREDNOC1004X1,GigabitEthernet0/2/0.9,CRED-FCHACON-ARC,9,190.94.208.9 255.255.255.252,60M,60M,
 VECREDNOC1004X1,GigabitEthernet0/2/0.29,IFXVE-OFICINAS,29,181.225.42.1 255.255.255.248,,,
 VECREDNOC1004X1,GigabitEthernet0/2/1,CANTV-1,,,,,
 VECREDNOC1004X1,GigabitEthernet0/2/1.700,,700,172.23.255.253 255.255.255.252,,,
 VECREDNOC1004X1,GigabitEthernet0/2/1.851,CANTV_ME_ID:7183-0001640/IFX_PORT:2301-0152591,851,172.23.255.249 255.255.255.252,,,
 VECREDNOC1004X1,GigabitEthernet0/2/2,,,,,,
 VECREDNOC1004X1,GigabitEthernet0/2/2.980,CANTV-PEER,980,172.23.255.233 255.255.255.252,,,
 VECREDNOC1004X1,GigabitEthernet0/2/3,,,,,,
 VECREDNOC1004X1,GigabitEthernet0/2/3.1,,1 native,172.23.253.65 255.255.255.240,,,
 VECREDNOC1004X1,GigabitEthernet0/2/3.17,Alcaldia-Chacao;ID:25550,,,,,
 VECREDNOC1004X1,GigabitEthernet0/2/3.20,OCEAN_DRIVE;ID:20818,20,181.225.44.129 255.255.255.248,50M,50M,
 VECREDNOC1004X1,GigabitEthernet0/2/3.31,CHACON-COBRE-VL31,31,190.94.210.25 255.255.255.252,50M,50M,
 VECREDNOC1004X1,GigabitEthernet0/2/3.50,,50,172.23.255.165 255.255.255.252,,,
