NOMBRE_EQUIPO,INTERFACE,NOMBRE_CLIENTE,NRO_VLAN,DIRECCION_IPV4, DIRECCION_IPV6, VELOCIDAD_ENTRADA,VELOCIDAD_SALIDA
 CRED1004X1,Loopback0,,,WAN: 181.225.41.18/32 - LAN: ,WAN: 2803:D480:0:73::18/128 - LAN: ,,
 CRED1004X1,Port-channel1,,,,,,
 CRED1004X1,Port-channel1.9,CC-BACKBONE-L3-IFX,9,WAN: 172.23.249.2/28 - LAN: ,WAN: 2803:D480:0:80:0:3E80:0:4/124 - LAN: ,,
 CRED1004X1,Port-channel1.30,CRED-LEBRUN,30,WAN: 172.23.249.34/28 - LAN: ,WAN: 2803:D480:0:66::C001/64 - LAN: ,,
 CRED1004X1,Port-channel2,LEV3-CL_IP - FRO2006909960,,,,,
 CRED1004X1,Port-channel3,,,,,,
 CRED1004X1,Port-channel3.282(shutdown),,,,,,
 CRED1004X1,Port-channel4,,,,,,
 CRED1004X1,Port-channel5,,,,,,
 CRED1004X1,Port-channel6,,,,,,
 CRED1004X1,Port-channel8,,,,,,
 CRED1004X1,Port-channel9,,,,,,
 CRED1004X1,POS0/0/0,TVZ-POZ-STM4-C,,WAN: 172.23.255.161/30 - LAN: ,,,
 CRED1004X1,POS0/0/1,TVZ-POZ-STM4-D,,WAN: 172.23.253.113/30 - LAN: ,,,
 CRED1004X1,POS0/0/2,TVZ-POZ-STM4-A;TVZ:CANTV-G2343/2221-0167846/ORDEN:I14ICP20691,,WAN: 172.23.254.221/30 - LAN: ,,,
 CRED1004X1,POS0/0/3,TVZ-MTN-STM4;TVZ:CANTV-G3086/2301-0168564/ORDEN:I15ICP01618,,WAN: 172.23.253.93/30 - LAN: 172.23.251.128/28 172.23.253.92/30 172.23.254.72/29 181.225.40.120/29 181.225.41.28/32 190.94.211.184/29 190.94.214.0/24 190.94.243.192/29 ,,,
 CRED1004X1,POS0/0/4,TVZ-POZ-STM4-B;TVZ:CANTV-G2980/222-0168287,,WAN: 172.23.253.85/30 - LAN: ,,,
 CRED1004X1,POS0/0/5,UNITEL-STM42022,,WAN: 172.23.254.177/30 - LAN: ,,ACL:350M / Mb:350,ACL:350M / Mb:350,
 CRED1004X1,POS0/0/6,TVZ-STM1;CANTV:F8769-ID:2221-0165364,,WAN: 172.23.255.197/30 - LAN: ,,,
 CRED1004X1,POS0/0/7,UNITEL-STM1-CARUPANO,,WAN: 172.23.255.101/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet0/1/0,CCSJ4500CREX2_xe-0/0/14_TUNO-CUBON,,,,,
 CRED1004X1,TenGigabitEthernet0/1/0.55,MGMT-TUNO,55,WAN: 172.23.249.81/29 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet0/1/0.471,TUNO-UNION-EUROPEA;ID:9334,471,WAN: 172.23.248.5/30 - LAN: 181.225.42.44/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/1/0.491,TUNO-NODOV-QTA-MARACA,491,WAN: 181.225.53.129/29 - LAN: ,,ACL:300M / Mb:300,ACL:300M / Mb:300,
 CRED1004X1,TenGigabitEthernet0/1/0.493,TUNO-TELCORP;ID:26301,493,WAN: 172.23.244.161/30 - LAN: 190.94.218.144/29 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/1/0.497,TUNO-STMORITZ-IP-BAN;ID:,497,WAN: 172.23.245.85/30 - LAN: 190.94.218.40/29 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/1/0.498,TUNO-STMORITZ-SW-BAN;ID:26168,498,WAN: 172.23.244.233/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet0/1/0.499,TUNO-STMORITZ-SW-PAL;ID:26168,499,WAN: 172.23.243.81/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet0/1/0.805,TMER-CON;ID:4,805,WAN: 181.225.48.9/29 - LAN: ,,ACL:10M / Mb:10,ACL:10M / Mb:10,
 CRED1004X1,TenGigabitEthernet0/1/0.806,MGL;ID:26271,806,WAN: 172.23.244.185/30 - LAN: 190.94.218.80/29 ,,ACL:40M / Mb:40,ACL:40M / Mb:40,
 CRED1004X1,TenGigabitEthernet0/1/0.1051,CUBO-CASINO-ATLATIS;ID:26561,1051,WAN: 190.94.194.201/30 - LAN: ,,ACL:500M / Mb:500,ACL:500M / Mb:500,
 CRED1004X1,TenGigabitEthernet0/1/0.1057,CUBON-CLETECI;ID:26013,1057,WAN: 172.23.250.13/30 - LAN: 181.225.40.248/29 ,,ACL:20M / Mb:20,ACL:20M / Mb:20,
 CRED1004X1,TenGigabitEthernet0/1/0.1062,CUBON-CUBICULOS;ID:26077,1062,WAN: 172.23.248.17/30 - LAN: 181.225.42.32/30 ,,ACL:20M / Mb:20,ACL:20M / Mb:20,
 CRED1004X1,TenGigabitEthernet0/1/0.1068,ALCOHOLES-DEL-CARIBE;ID:26171,1068,WAN: 172.23.245.81/30 - LAN: 190.94.253.108/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/1/0.1071,ASESORIA-FINAN;ID:26195,1071,WAN: 172.23.245.221/30 - LAN: 190.94.250.84/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/1/0.1073,POSCOMERCIAL;ID:26167,1073,WAN: 172.23.245.1/30 - LAN: 181.225.44.40/29 181.225.47.176/28 181.225.53.136/29 190.94.193.76/30 190.94.197.80/30 190.94.208.184/30 190.94.250.84/30 190.94.250.100/30 190.94.250.108/30 190.94.250.120/30 ,,ACL:60M / Mb:60,ACL:60M / Mb:60,
 CRED1004X1,TenGigabitEthernet0/1/0.1080,HERBALIFE;ID:26191,1080,WAN: 172.23.241.133/30 - LAN: 190.94.198.136/29 190.94.199.244/30 ,,ACL:60M / Mb:60,ACL:60M / Mb:60,
 CRED1004X1,TenGigabitEthernet0/1/0.1081,HERBALIFE-CN;ID:26191,1081,WAN: 172.23.241.29/30 - LAN: 190.94.198.128/29 ,,ACL:30M / Mb:30,ACL:30M / Mb:30,
 CRED1004X1,TenGigabitEthernet0/1/0.1084,VENILAC;ID:26611,1084,WAN: 172.23.240.149/30 - LAN: 190.94.193.112/30 190.94.197.152/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/1/0.1803,BIGCA-QTA-ANAU;ID:26612,1803,WAN: 172.23.240.89/30 - LAN: 190.94.193.80/30 190.94.193.120/30 190.94.197.96/30 190.94.197.164/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/1/0.1805,FRESH-T-CHAGMOS;ID:,1805,WAN: 172.23.240.41/30 - LAN: ,,ACL:70M / Mb:70,ACL:70M / Mb:70,
 CRED1004X1,TenGigabitEthernet0/1/0.1813(shutdown),CORP-CALL-77;ID:,1813,WAN: 172.23.243.141/30 - LAN: 190.94.199.140/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/1/0.1815(shutdown),TUNO-REINALDO;ID:4,1815,WAN: 190.94.199.45/30 - LAN: ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/1/0.1816(shutdown),TUNO-MDA-TV;ID:,1816,WAN: 172.23.243.93/30 - LAN: 190.94.244.16/30 ,,ACL:60M / Mb:60,ACL:60M / Mb:60,
 CRED1004X1,TenGigabitEthernet0/1/0.1829(shutdown),TUNO-ESTIVANELI;ID:,1829,WAN: 172.23.251.113/30 - LAN: 181.225.42.72/29 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/1/0.1831,TUNO-PASEO-L-M;ID:,1831,WAN: 172.23.250.181/30 - LAN: 190.94.210.88/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/1/0.1837(shutdown),CONAVEN;ID:8699,1837,WAN: 172.23.248.237/30 - LAN: 190.94.208.64/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/1/0.1839(shutdown),BANKING;ID:26341,1839,WAN: 172.23.243.177/30 - LAN: 190.94.198.0/29 190.94.244.84/30 ,,ACL:160M / Mb:160,ACL:160M / Mb:160,
 CRED1004X1,TenGigabitEthernet0/1/0.1843(shutdown),RED1-VL483-TUNO-MUEBLES-MARY ,1843,WAN: 172.23.245.89/30 - LAN: 190.94.253.216/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/1/0.1846,TUNO-FARMA-HB-CHRMOS,1846,WAN: 172.23.241.221/30 - LAN: 190.94.244.168/30 ,,ACL:60M / Mb:60,ACL:60M / Mb:60,
 CRED1004X1,TenGigabitEthernet0/1/0.1849,TUNO-DUMI-TORROSA,1849,WAN: 172.23.241.109/30 - LAN: 190.94.244.184/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/1/0.1854,GSS-TECHNOLOGY;ID:26586,1854,WAN: 172.23.240.33/30 - LAN: 190.94.197.60/30 190.94.200.20/30 ,,ACL:60M / Mb:60,ACL:60M / Mb:60,
 CRED1004X1,TenGigabitEthernet0/1/0.1861(shutdown),PANEL-SYSTEMS;ID:26308,1861,WAN: 172.23.243.53/30 - LAN: 181.225.53.224/29 190.94.244.8/30 ,,ACL:60M / Mb:60,ACL:60M / Mb:60,
 CRED1004X1,GigabitEthernet0/2/0,CCS3550CREDX1-Giga0/2,,,,,
 CRED1004X1,GigabitEthernet0/2/0.9,CRED-FCHACON-ARC,9,WAN: 190.94.208.9/30 - LAN: ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,GigabitEthernet0/2/0.29(shutdown),IFXVE-OFICINAS,29,WAN: 181.225.42.1/29 - LAN: ,WAN: 2803:D480:0:80::3EB1/124 - LAN: ,,
 CRED1004X1,GigabitEthernet0/2/1,CANTV-1,,,,,
 CRED1004X1,GigabitEthernet0/2/2,,,,,,
 CRED1004X1,GigabitEthernet0/2/2.980,CANTV-PEER,980,WAN: 172.23.255.233/30 - LAN: 201.249.163.0/28 ,,,
 CRED1004X1,GigabitEthernet0/2/3,,,,,,
 CRED1004X1,GigabitEthernet0/2/3.1,,1 native,WAN: 172.23.253.65/28 - LAN: ,,,
 CRED1004X1,GigabitEthernet0/2/3.17,Alcaldia-Chacao;ID:25550,,,,,
 CRED1004X1,GigabitEthernet0/2/3.20,OCEAN_DRIVE;ID:20818,20,WAN: 181.225.44.129/29 - LAN: ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,GigabitEthernet0/2/3.50,,50,WAN: 172.23.255.165/30 - LAN: ,,,
 CRED1004X1,GigabitEthernet0/2/3.51,,51,WAN: 172.23.255.169/30 - LAN: ,,,
 CRED1004X1,GigabitEthernet0/2/3.54,CRED1-JCTEST,54,WAN: 190.94.224.89/30 - LAN: ,,,
 CRED1004X1,GigabitEthernet0/2/3.102(shutdown),DVA-SERVICIOS;ID:21467,102,,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,GigabitEthernet0/2/4,,,,,,
 CRED1004X1,GigabitEthernet0/2/4.1,CCS3750CREDX1-NU,1,WAN: 172.23.253.137/29 - LAN: ,,,
 CRED1004X1,GigabitEthernet0/2/4.99,,99 native,,,,
 CRED1004X1,GigabitEthernet0/2/5,,,,,,
 CRED1004X1,GigabitEthernet0/2/5.2,VECCSNOC3750X4_Giga1/0/5,2,WAN: 172.23.250.121/29 - LAN: ,,,
 CRED1004X1,GigabitEthernet0/2/5.99,,99 native,,,,
 CRED1004X1,GigabitEthernet0/2/6(shutdown),,,,,,
 CRED1004X1,GigabitEthernet0/2/7(shutdown),,,,,,
 CRED1004X1,TenGigabitEthernet0/3/0,GPON-OLT-CRED-31052022,,,,,
 CRED1004X1,TenGigabitEthernet0/3/0.259,CRED-OPTICA-CARONI;ID:26938,259,WAN: 172.23.253.89/30 - LAN: 190.94.194.128/30 ,,ACL:30M / Mb:30,ACL:30M / Mb:30,
 CRED1004X1,TenGigabitEthernet0/3/0.1961,CRED-TECNOPRO-2018;ID:27086,1961,WAN: 190.94.224.245/30 - LAN: ,,ACL:800M / Mb:800,ACL:800M / Mb:800,
 CRED1004X1,TenGigabitEthernet0/3/0.1962,CRED-RIDERY-FERRETOT;ID:26560,1962,WAN: 172.23.238.249/30 - LAN: 190.94.224.248/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3021,QTA-SETORRAY;ID:26224,3021,WAN: 172.23.246.109/30 - LAN: 190.94.252.132/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/3/0.3100,LIBER-JRL;ID:26179,3100,WAN: 172.23.246.21/30 - LAN: 190.94.251.8/29 ,,ACL:80M / Mb:80,ACL:80M / Mb:80,
 CRED1004X1,TenGigabitEthernet0/3/0.3102,GALI-METRO-MULTICENT,3102,WAN: 172.23.241.193/30 - LAN: 190.94.244.192/30 190.94.244.216/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/3/0.3103,UVI-TECH;ID:26073,3103,WAN: 172.23.248.109/30 - LAN: 190.94.253.160/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/3/0.3104,GPON-CRED-METRO-HOYADA,3104,WAN: 172.23.241.1/30 - LAN: 190.94.244.164/30 190.94.244.168/30 190.94.244.188/30 190.94.251.56/29 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3105,GPON-CRED-ALC-LIBERTADOR,3105,WAN: 172.23.241.5/30 - LAN: 190.94.199.164/30 190.94.251.184/29 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3106,CRED-TELCORP-PYG,3106,WAN: 172.23.241.101/30 - LAN: 190.94.198.88/29 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
