NOMBRE_EQUIPO,INTERFACE,NOMBRE_CLIENTE,NRO_VLAN,DIRECCION_IP,VELOCIDAD_ENTRADA,VELOCIDAD_SALIDA
 VELEBNOC1002X1,Loopback0,,,181.225.41.24 255.255.255.255,,,

 VELEBNOC1002X1,Port-channel1(shutdown),CCSJ4500LEBX1_ae4,,,,,
 VELEBNOC1002X1,Port-channel2,CCSJ4500LEBX1_ae7,,,,,
 VELEBNOC1002X1,Port-channel2.622(shutdown),BOL-SWEETCHERRY,622,172.23.250.41 255.255.255.252,200M,200M,
 VELEBNOC1002X1,Port-channel2.1101,LEB-GPON-TEST,1101,190.94.250.33 255.255.255.252,10M,10M,
 VELEBNOC1002X1,Port-channel2.1115(shutdown),LEB-EXCEL-GAMA-PPAL,1115,172.23.248.217 255.255.255.252,300M,300M,
 VELEBNOC1002X1,Port-channel2.1121(shutdown),LEB-VENSITE,1121,172.23.250.193 255.255.255.252,140M,140M,
 VELEBNOC1002X1,Port-channel2.1133,LEB-PRC333-MONACA,1133,172.23.248.245 255.255.255.252,50M,50M,
 VELEBNOC1002X1,Port-channel2.1656,LEB-LIDER-PRAGMA,1656,172.23.245.225 255.255.255.252,100M,100M,
 VELEBNOC1002X1,Port-channel2.1657(shutdown),LEB-FAROCA-VISTAL,1657,172.23.245.169 255.255.255.252,300M,300M,
 VELEBNOC1002X1,Port-channel2.1658,LEB-CANGURO,1658,172.23.244.113 255.255.255.252,100M,100M,
 VELEBNOC1002X1,Port-channel2.1680,LEB-SMARTCALL-OFICEN,1680,172.23.243.105 255.255.255.252,90M,90M,
 VELEBNOC1002X1,Port-channel2.1681,LEB-DROGUERIA-NENA,1681,172.23.243.109 255.255.255.252,80M,80M,
 VELEBNOC1002X1,Port-channel2.1708,LEB-COCONUTS-RED ,1708,172.23.244.97 255.255.255.252,200M,200M,
 VELEBNOC1002X1,Port-channel2.1713(shutdown),LEB-WIFI-SOLUTI-IP,1713,190.94.245.217 255.255.255.248,100M,100M,
 VELEBNOC1002X1,GigabitEthernet0/0/0,,,,,,
 VELEBNOC1002X1,GigabitEthernet0/0/1,,,,,,
 VELEBNOC1002X1,GigabitEthernet0/0/2,,,,,,
 VELEBNOC1002X1,GigabitEthernet0/0/3,,,,,,
 VELEBNOC1002X1,GigabitEthernet0/1/0,CCS3750LEBX3_CONEXION_DIRECTA,,,,,
 VELEBNOC1002X1,GigabitEthernet0/1/0.1103,LEB-CONTALFA,1103,172.23.252.233 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/0.1105,LEB-GRAPHO-FORMAS,1105,172.23.251.45 255.255.255.252,5M,5M,
 VELEBNOC1002X1,GigabitEthernet0/1/0.1109,LEB-ALFONZO-CALI,1109,172.23.250.113 255.255.255.252,5M,5M,
 VELEBNOC1002X1,GigabitEthernet0/1/0.1110,LEB-NEB&ASOCIADOS,1110,172.23.250.133 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/0.1111,LEB-PANDORA_PRUEBA,1111,190.94.210.97 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/0.1112,RED1-VL1112-LEB-CORP-SISA-LEB,1112,172.23.250.201 255.255.255.252,10M,10M,
 VELEBNOC1002X1,GigabitEthernet0/1/0.1113,RED1-VL1113-LEB-LARSHOSTING,1113,190.94.210.13 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/0.1114,RED1-VL1114-LEB-CONFECCIONES-LC,1114,172.23.250.205 255.255.255.252,10M,10M,
 VELEBNOC1002X1,GigabitEthernet0/1/0.1116,LEB-EXCEL-GAMA-DISTRI,1116,172.23.248.221 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/0.1117,RED1-VL1117-LEB-CHARVENCA,1117,172.23.248.249 255.255.255.252,50M,50M,
