Nodo,Cliente,Vlan Name,Current Vlan,New Vlan,Servicio
El Universal,Guillermo,ELUN-GUILLERMO-AMAR,983,3350,IP
,Safary Bakery,ELUN-SAFARI-BAKERY,984,3351,IP
Galipán,Acuario,BOL-CASIO-PPAL-MGM,665,,Transporte
,Feria,BOL-CASIO-PPAL-MGM,665,,Transporte
,Stand,BOL-CASIO-PPAL-MGM,665,,Transporte
,Zurich,GALI-ZURICH,559,3228,IP
,Fondo De valores,GALI-FONDO-DE-VALORES,588,3229,IP
,Primtek,GALI-PRIMTEK-27,589,3230,IP
,Access Salud,GALI-ACCESS-SALUD,599,3231,IP
,VenamCham,GALI-VENAMCHAM,1557,3232,IP
,National Cargo,GALI-NATIONAL-CARGO,1561,3233,IP
,2Net Emb. De Italia,GALI-2NET-EMB-ITALIA,1572,,Transporte
,GPS,GALI-GPS-40MB,560,3234,IP
,Instituto italiano,GALI-INST-ITALIANO,575,3235,IP
,Mazar,GALI-MAZAR,582,3236,IP
,Grupo falcón,GALI-GRUPO-FALCON,1573,3237,IP
Libertador,Qta Emecicno,LIB-QUINTA-EMECICNO,1024,3034,IP
,Soluciones TI,LIBER-SOLUCIONESTI,1013,3035,IP
,Soaint,LIBER-SOAINT,1030,3036,IP
,Soluciones Coello,LIBER-SOL-COELLO-PISO-6,1039,3037,IP
,Mi Casita,LIBER-MICASITA,1043,3038,IP
,Qta Solera,LIBER-QUINTA-SOLERA,1045,3039,IP
,Dav Dubbing,LIBER-DAV-DUBBING,1018,3040,IP
,Clinica Santiago de Leon,LIBER-CLI-SANTIAGO-L,1050,3041,IP
,Condominio Banco Plaza,LIBER-CONDOMI-BANCOP,1037,3042,IP
,Shaarei Shalom,LIBER-SHAAREI-SHALOM,1015,3043,IP
,More Consulting,LIBER-MORE,1020,3044,IP
Torre Uno,World Trading,TUNO-WORLD-TRADING,485,3267,IP
,TopFood,TUNO-TOP-FOOD,486,3268,IP
,Qta el Maissanco,TUNO-QUINTA-EL-MAISSANCO,490,3269,IP
,CVA Las Mercedes,TUNO-COELLO-CVA-MER,492,3270,IP
,Destilería Carúpano,TUNO-DEST-CARUPANO,494,3271,IP
,Excelsior Gama,,"495,496",,Transporte
,Yeet de Venezuela,TUNO-YEET-DE-VEN,452,3272,IP
,Dancing Dolly,TUNO-DANCINGDOLLY,461,3273,IP
,Estivaneli,TUNO-ESTIVANELI,462,3274,IP
,Tolonet,TUNO-TOLONET-FIB ,465,3275,IP
,Hotel Paseo las Mercedes,TUNO-PASEO-L-M,466,3276,IP
,Emb Rusia,TUNO-EMB-RUSIA,467,3277,IP
,Lobby Ah,TUNO-LOBBY-AH,470,3278,IP
,Qta Mary,TUNO-QTA-MARY,472,3279,IP
,Final Curve,TUNO-FINAL-CURVE,473,3280,IP
,ISARQ,TUNO-ISARQ,474,3281,IP
,Audio Concept,TUNO-AUDIO-CONCEPT,475,3282,IP
,Conaven,TUNO-CONAVEN,476,3283,IP
,Modusistema,TUNO-MODUSISTEMA,478,3284,IP
,Banking,TUNO-BANKING,479,3285,IP
,Echo Link,TUNO-ECHO-LINK,480,3286,IP
,Unión Europea,TUNO-UNION-EUROPEA-MUD,481,3287,IP
,Hecticus,TUNO-HECTICUS,482,3288,IP
,Muebles Mary,TUNO-MUEBLES-MARY,483,3289,IP
,Intervit,TUNO-INTERVIT,484,3290,IP
,Consein,TUNO-CONSEIN,487,3291,IP
,Club Valle Arriba,TUNO-CLUB-VALLE-ARRIBA,489,3292,IP
,St. Moritz,,"497,498,500",,IP / Transporte
,2Net Militar,,1801,,Transporte
,2Net Torre Financiera,,488,,Transporte
